title,price,rating,reviews,availability
PlayStation®4 Console – Call of Duty® Modern Warfare II Bundle,,4.4 out of 5 stars,123 ratings,Not Available
PlayStation 4 Slim 1TB Console,,4.7 out of 5 stars,"15,742 ratings",Only 4 left in stock - order soon.
PlayStation 4 Pro 1TB Console,,4.7 out of 5 stars,"12,774 ratings",Not Available
"FASIGO PS4 Controller 2 Pack, Wireless PS4 Controller for PS4 / Pro/Slim & PC, with 2 USB C Cable - Black",,4.2 out of 5 stars,603 ratings,In Stock
"Wuthur PS4 Controller Wireless 2 Pack, Compatible with PlayStation 4 - Black & White",,4.3 out of 5 stars,256 ratings,Not Available
"PS4 Controller Charger Dock Station, OIVO 1.8Hrs PS4 Controller Charging Dock, Charging Station Replacement for PlayStation 4 Dualshock 4 Charger",,4.7 out of 5 stars,"39,737 ratings",Not Available
Sonic Frontiers - PlayStation 4,,4.7 out of 5 stars,985 ratings,In Stock
$250 PlayStation Store Gift Card [Digital Code],,4.6 out of 5 stars,"263,270 ratings",Available now
SHINXIN PS4 Controller 2 Pack for PS4/Slim/Pro/PC with Dual Vibration/3.5mm Audio/Type-C Port and 2 pcs Type-C Cable (Blue + Green),,4.4 out of 5 stars,148 ratings,Not Available
"PS4 Controller Charger Dock Station with Charging Cable,1.8Hour Fast-Charging PS4 Controller Charger Station for PlayStation 4 Remote, Replacement for PlayStation 4 Controller Charger Adapter",,4.3 out of 5 stars,"3,434 ratings",Not Available
"2 Pack Wireless Controller for PS4, Game Remote Controller for PS4/Slim/Pro/PC with Dual Vibration/6-Axis Gyro/3.5mm Audio Jack/Touch Pad/2 x Cable/1000mAh Battery",,5.0 out of 5 stars,2 ratings,In Stock
"2.4GHz Wireless Gaming Headset for PC, Ps5, Ps4 - Lossless Audio USB & Type-C Ultra Stable Gaming Headphones with Flip Microphone, 40-Hr Battery Gamer Headset for Switch, Laptop, Mobile, Mac",,4.3 out of 5 stars,"5,786 ratings",Not Available
Sony Playstation PS4 1TB Black Console,,4.6 out of 5 stars,"1,577 ratings",Not Available
PlayStation®5 Digital Edition (slim),,4.7 out of 5 stars,"8,959 ratings",Not Available
"Playstation Sony 4, 500GB Slim System [CUH-2215AB01], Black, 3003347",,4.3 out of 5 stars,375 ratings,Not Available
PlayStation 4 500GB Console [Old Model][Discontinued],,4.6 out of 5 stars,"13,628 ratings",Not Available
"PDP RIFFMASTER Wireless Guitar Controller for PlayStation 5 and PlayStation 4, PS5/PS4, Rock Band 4, Fortnite Festival, Audio Jack, Rechargeable Battery, Officially Licensed by Sony - Black",,4.4 out of 5 stars,541 ratings,Not Available
"BRENDEZ Replacement Set of Cables,- HDMI Cable with Ethernet Male to Male + USB Cable + Power Cord Compatible with Sony PlayStation 4 Pro and PlayStation 4 PS4 Gaming Console. (10-FEET)",,4.2 out of 5 stars,47 ratings,Not Available
"2 Pack Wireless Controller for PS4, Game Remote Controller for PS4/Slim/Pro/PC with Dual Vibration/6-Axis Gyro/3.5mm Audio Jack/Touch Pad/2 x Cable/1000mAh Battery",,5.0 out of 5 stars,2 ratings,Not Available
